Schools,Section,Years,Wiki hyperlinks,Award,Outreach Category,Event Names,Project Tags,Audiences,Goals,Descriptions
Paris Bettencourt,Overgraduate,2015,http://2015.igem.org/Team:Paris_Bettencourt,,Education and Public Engagement,#IndianApera at Cite University,Teaching Activity,iGEM Teams,"Science Education, Educate on Synthetic Biology",Organized a small party at the Cite International University in Paris to discuss iGEM and synthetic biology to the attendees   Organize a small party at the Cite International University in Paris with help from members of past iGEM teams.   Teach people about the project through posters and talking to individuals about the project and what progress has been made.   Share ideas with those invited about iGEM and receive advice on the project from those with different perspectives.  
Paris Bettencourt,Overgraduate,2015,http://2015.igem.org/Team:Paris_Bettencourt,,Education and Public Engagement,Workshops at Sevres with the CIRP,Teaching Activity,Primary School Students,"Science Education, Educate on Synthetic Biology","Held a weeklong workshop to teach elementary school students about synthetic and micro-biology   Have the CRi organize a weeklong workshop session to work with students to teach them about synthetic biology, fermentation, and the microbiome.   Collect comment and feedback about the project.  "
Pasteur Paris,Overgraduate,2016,http://2016.igem.org/Team:Pasteur%20Paris,,Integrated Human Practices,Civic Drone Consultation,Consult Experts,Specialized Audience,Gain Information for iGEM Project,"Met with a non-military drone manufacturing company to gain more information for their project   Meet with Civic Drone, the French non-military drone manufacturing company.   Discuss with the CEO about iGEM and learn about the expertise and the way their company could assist with their project. "
Pasteur Paris,Overgraduate,2016,http://2016.igem.org/Team:Pasteur%20Paris,,Integrated Human Practices,EID Consultation,Consult Experts,Specialized Audience,Gain Information for iGEM Project,"Met with EID,an organization that handles mosquito outbreaks, to gain information on how to better design their project   Meet with EID, the organization in charge of handling mosquito outbreaks   Discuss with them the iGEM project   Learn about better ways to design their project based on the lifestyle of a mosquito "
Pasteur Paris,Overgraduate,2016,http://2016.igem.org/Team:Pasteur%20Paris,,Integrated Human Practices,CIBU Consultation,Consult Experts,Specialized Audience,"Gain Information for iGEM Project, Present iGEM Project","Presented iGEM project to CIBU, an organization that handles disease epidemics, to gain information on how to improve their project   Present iGEM project to CIBU, an organization that handles disease epidemics.   Take advice and ask questions about how to improve iGEM project.  "
Pasteur Paris,Overgraduate,2016,http://2016.igem.org/Team:Pasteur%20Paris,,Integrated Human Practices,Mosquito and Termite Control Board Consultation,Consult Experts,Specialized Audience,"Gain Information for iGEM Project, Present iGEM Project",Presented iGEM project to the Mosquito and Termite Control board to gain information on how to improve their project   Present iGEM Project to the Mosquito and Termite Control board.   Ask for advice on how best to improve iGEM project to work with the life of a mosquito to be most effective. 
Pasteur Paris,Overgraduate,2016,http://2016.igem.org/Team:Pasteur%20Paris,,Integrated Human Practices,La Paillasse,"Consult Experts, Project Presentation",Specialized Audience,"Gain Information for iGEM Project, Present iGEM Project","Took a tour of an open collaborative lab and learned new laboratory techniques and gained advice for their project   Take a tour of the collaborative laboratory space, and present/discuss iGEM project with scientists working at the laboratory.   Learn not only new laboratory techniques and take advice specific to designing their project and product, but also take advice about meeting with lawyers to best write a report on the intellectual property of iGEM projects. "
Pasteur Paris,Overgraduate,2016,http://2016.igem.org/Team:Pasteur%20Paris,,Education and Public Engagement,Quick Guide to Intellectual Property,Educational Material,iGEM Teams,Educate on iGEM Program,Consulted lawyers about iGEM team's intellectual property rights and created booklets to help other iGEM teams understand their intellectual property rights   Research through consultation with lawyers about iGEM team's intellectual property rights concerning their project.   Develop various booklets that are downloadable through their wiki that make it easy for iGEM teams to understand their intellectual property rights. 
Pasteur Paris,Overgraduate,2016,http://2016.igem.org/Team:Pasteur%20Paris,,Education and Public Engagement,Zika Summit 2016,Project Presentation,Scientific Community,Present iGEM Project,Presented project at the International Ziki Summit to scientists and the healthcare community   Design posters and prepare a presentation based on the iGEM project.   Participate in the International Ziki Summit and present the project to scientist and the healthcare community.   Exchange knowledge and interest with other scientists. 
Pasteur Paris,Overgraduate,2016,http://2016.igem.org/Team:Pasteur%20Paris,,Education and Public Engagement,Festival Vivant,Project Presentation,General Public,Present iGEM Project,Presented iGEM project in the Vivant Festival and showed 3D models to individuals interested in their project   Present iGEM project after participating in the Vivant Festival. 2 Prepare 3D models to also show people who are interested in the iGEM project.   Answer questions about synthetic biology. 
Pasteur Paris,Overgraduate,2016,http://2016.igem.org/Team:Pasteur%20Paris,,Education and Public Engagement,Presentation for AMGEN students,Project Presentation,University Students,Present iGEM Project,Presented about iGEM project and synthetic biology to undergraduate students   Prepare presentation about iGEM project.   Perform the presentation about synthetic biology in front of about 20 undergraduate university students from Amgen School Program. 
Pasteur Paris,Overgraduate,2016,http://2016.igem.org/Team:Pasteur%20Paris,,Education and Public Engagement,Online Surveys,Survey,General Public,Learn Public Opinion,"Surveyed general public on opinion of synthetic biology and team's project idea   Construct two different surveys, one about synthetic biology and its applications, and another about their specific iGEM project.   Give to about 400 people of the general public and analyze the data.   Post on the wiki. "
Pasteur Paris,Overgraduate,2016,http://2016.igem.org/Team:Pasteur%20Paris,,Education and Public Engagement,Mos(kit)o Simulation Game,"Teaching Activity, Educational Material",Secondary School Students,"Educate on Synthetic Biology, Educate on iGEM Program","Taught local middle schoolers about iGEM project and Zika virus using a game    Teach local middle schoolers about their specific iGEM project by developing a game based around their idea (mosquitos, zika).   Present and play the game at the local middle school to teach them about iGEM and Zika. "
Pasteur Paris,Overgraduate,2016,http://2016.igem.org/Team:Pasteur%20Paris,,Education and Public Engagement,Middle School Labwork,"Teaching Activity, Open Lab",Secondary School Students,"Educate on Synthetic Biology, Educate on iGEM Program, Science Education","Hosted local middle school students in the lab for the day and taught them about synthetic biology and various lab techniques    Bring local middle schoolers into the iGEM lab for a day.   Teach the students about synthetic biology, different lab techniques, iGEM, and gender equality in the lab. "
Peking,Undergraduate,2016,http://2016.igem.org/Team:Peking,,Education and Public Engagement,Field Measurement,Community Event,"General Public, Specialized Audience",Gain Information for iGEM Project,Assessed uranium contamination in a nearby river   Assess possible uranium contamination threats in the immediate area by extracting freshwater samples from a nearby river.   Analyze the samples for uranyl concentration and determine the threat levels.   Complete a comprehensive report on the wiki. 
Peking,Undergraduate,2016,http://2016.igem.org/Team:Peking,,Integrated Human Practices,Visit to 311 Brigade,Consult Experts,Specialized Audience,Gain Information for iGEM Project,"Consulted experts to learn about the current methods of handling uranium contamination, and about ways in which their iGEM project could be useful    Visit the Nuclear Geology 311 Brigade to learn about modern methods of handling uranium contamination   Discuss with experts about the iGEM project and ask how it can best be suited to help their work   Receive advice that becomes useful in the ultimate design of their synthetic circuit. "
Peking,Undergraduate,2015,http://2015.igem.org/Team:Peking,,Integrated Human Practices,Consultation with Several Clinicians,Consult Experts,Specialized Audience,Gain Information for iGEM Project,"Consulted with several clinicians about TB treatment and testing and received advice on the iGEM project   Consult several clinicians about the current situation of tuberculosis, especially in China, the most widely used diagnostic techniques, and their clinical application.   Consult with the clinicians at the Central Laboratory of Beijing Research Institute for TB, and discuss the iGEM proposal with the clinicians there to receive advice. "
Peking,Undergraduate,2015,http://2015.igem.org/Team:Peking,,Integrated Human Practices,Consultation with Patenting Experts,Consult Experts,Specialized Audience,Gain Information for iGEM Project,"Wrote a report on the economics and patenting of their project following a consultation with Dr. GuangKuang   Discuss with Dr. GuangKuang about the possibilities of patenting synthetic biology products, specifically their project.   Keep detailed notes of the meeting, discussing the ""Three Principles of Bioethics"" and how that applies to rightful patenting and ownership.   Write a comprehensive report on the economics and patenting of their project, and post on the iGEM wiki. "
Peking,Undergraduate,2015,http://2015.igem.org/Team:Peking,,Integrated Human Practices,Ethics Discussion with Bioethicist,Consult Experts,Specialized Audience,Gain Information for iGEM Project,"Consulted with the professor at the Institute of Medical Humanities of Peking University about ethical issues surrounding their project   Consult with Doctor Guangkuan, a Professor at the Institute of Medical Humanities of Peking University, about the ethical issues concerning synthetic biology and more specifically their project.   Complete a comprehensive assessment of the ethical problems of the project based on the discussion. "
Peking,Undergraduate,2015,http://2015.igem.org/Team:Peking,,Integrated Human Practices,Economic Assessment of Device,Consult Experts,Specialized Audience,Gain Information for iGEM Project,"Consulted with the director at Center Lab at the Beijing Institute for Tuberculosis about tuberculosis testing and their iGEM project   Consult Dr.Beichuan, the Director of Center Lab at the Beijing Institute for Tuberculosis about their project and its economic constraints.   Ask questions about the supply and demands of TB testing in the market and the constraints of traditional methods.   Compile what advice was given and compose and economic assessment after thorough research on the economics of their project. "
Peking,Undergraduate,2016,http://2016.igem.org/Team:Peking,,Integrated Human Practices,Consult Experts,Consult Experts,Specialized Audience,Gain Information for iGEM Project,Consulted with professors on how to best design iGEM project   Consult two professors in physics and molecular chemistry to learn more about how to best design the iGEM project.   Receive advice and modify iGEM project accordingly. 
Peking,Undergraduate,2016,http://2016.igem.org/Team:Peking,,Education and Public Engagement,Brochure,Educational Material,General Public,"Educate on Synthetic Biology, Educate on iGEM Program","Designed a brochure for the general public on iGEM, synthetic biology and uranium concentration   Design a brochure to be given out to the general public that covers topics of synthetic biology, iGEM, and uranium concentration. "
Peking,Undergraduate,2015,http://2015.igem.org/Team:Peking,,Education and Public Engagement,TB Pamphlet,Educational Material,General Public,Educate on Synthetic Biology,   Design a small pamphlet that talks about tuberculosis and the iGEM project   Hand the pamphlet out to adult members of the general public after they take the team's survey on these topics to help educate them 
Peking,Undergraduate,2015,http://2015.igem.org/Team:Peking,,Education and Public Engagement,Student Visit to iGEM Lab,"Open Lab, Teaching Activity","Primary School Students, Secondary School Students","Educate on Synthetic Biology, Science Education","Lectured primary and high school students on synthetic biology   Invite 20 local primary school students into the iGEM lab.   Give them a brief lecture on synthetic biology and basic science education such as ""what is the basic substance of life?"".   Also invite high school students and provide another lecture that includes greater detail about synthetic biology and the iGEM project.   Allow both sets of students to explore the lab and ask questions. "
Peking,Undergraduate,2016,http://2016.igem.org/Team:Peking,,Education and Public Engagement,Questionnaire,Survey,General Public,Learn Public Opinion,"Conducted a survey to determine the general public's awareness and opinion on uranium contamination and on synthetic biology   Conduct a survey to almost 1000 participants online that covers the public's awareness of uranium contamination, as well as synthetic biology and their opinion of the subject.   Analyze the data, write a comprehensive report on the iGEM wiki "
Peking,Undergraduate,2015,http://2015.igem.org/Team:Peking,,Education and Public Engagement,Questionnaire,Survey,General Public,Learn Public Opinion,Surveyed the public on synthetic biology and tuberculosis awareness   Design questions about synthetic biology and the public's awareness of tuberculosis and current treatment methods.   Analyze the data and post on the team's iGEM wiki. 
Peking,Undergraduate,2016,http://2016.igem.org/Team:Peking,,Education and Public Engagement,Summer Camp,Teaching Activity,"Secondary School Students, Primary School Students","Educate on Synthetic Biology, Educate on iGEM Program, Science Education","Educated middle school age summer camp students on synthetic biology, basic lab techniques and iGEM    Host middle school students at their lab for a day as part of an summer camp with their university.   Educate the students on what synthetic biology is, and what their iGEM project is.   Teach the students about various basic lab techniques such as gel electrophoresis. "
Pittsburgh,Undergraduate,2016,http://2016.igem.org/Team:Pittsburgh,,Integrated Human Practices,Meetings with Professors,Consult Experts,Professors,Gain Information for iGEM Project,"Talked to professors in the geology department to discuss the design of an iGEM project that could be of most use to the industry   Talk to professors in the geology department to discuss how best to design an iGEM project than can be of most use to the industry.   Discuss developing a thallium sensor, and how to best reduce the chances of false positives in their design to create a more accurate sensor than the current model.  "
Pittsburgh,Undergraduate,2016,http://2016.igem.org/Team:Pittsburgh,,Education and Public Engagement,Camp BioE,Teaching Activity,Secondary School Students,"Educate on Synthetic Biology, Educate on iGEM Program, Science Education",Visited Nuclear Geology 311 Brigade to learn about modern methods of handling uranium contamination   Visit Camp BioE on DNA day   Visit 4 groups of middle and high school students and educate them on synthetic biology.   Do a brief introduction of the iGEM project   Do an activity using beads to teach the kids about the PCR process. 
Pittsburgh,Undergraduate,2016,http://2016.igem.org/Team:Pittsburgh,,Education and Public Engagement,TechBio and DiSCoBio,Teaching Activity,"Secondary School Students, University Students","Educate on Synthetic Biology, Educate on iGEM Program, Science Education",Visited Camp BioE on DNA day to educate 4 groups of middle and high school students on synthetic biology   Visit students in high school and college and teach them about transcription and translation   Educate the students further on what synthetic biology is and introduce them to the iGEM project. 
Pittsburgh,Undergraduate,2016,http://2016.igem.org/Team:Pittsburgh,,Education and Public Engagement,Carnegie Science Center,Teaching Activity,General Public,"Educate on Synthetic Biology, Educate on iGEM Program, Science Education","Visited the Carnegie Science Center to teach guests about lead and aluminum water poisoning   Visit the Carnegie Science Center to teach guests about lead and aluminum water poisoning.   Teach them about synthetic biology and the iGEM project, and how it can help "
Pittsburgh,Undergraduate,2016,http://2016.igem.org/Team:Pittsburgh,,Education and Public Engagement,Pittsburgh Public Schools,Teaching Activity,Secondary School Students,"Educate on Synthetic Biology, Educate on iGEM Program, Science Education","Visited local high school and prepared a presentation on synthetic biology   Visit the local high school and prepare a presentation about synthetic biology   Complete a presentation and answer questions about synthetic biology, iGEM, and their current project.  "
Queens_Canada,Undergraduate,2015,http://2015.igem.org/Team:Queens_Canada,,Integrated Human Practices,Consultation with IP experts,Consult Experts,Specialized Audience,Gain Information for iGEM Project,"Discussed patenting the team's iGEM project with experts in commercialization and patenting   Consult with Parteq, a non-profit organization that are experts in the commercialization and patenting process for intellectual property.   Discuss the iGEM project, and learn necessary background information on patenting, as well as the use of a unique IP. "
Queens_Canada,Undergraduate,2015,http://2015.igem.org/Team:Queens_Canada,,Education and Public Engagement,Introduction to Molecular Biology Online,Educational Material,Scientific Community,Science Education,Designed and published molecular biology learning activities   Design various problem based learning activities that help educate about molecular biology.   Publish these lessons in the online course Molecular Biology offered through Queen's Center for Distance Studies for the following school year. 
Queens_Canada,Undergraduate,2015,http://2015.igem.org/Team:Queens_Canada,,Education and Public Engagement,Engineering Design Partnership,Educational Material,University Students,Science Education,Partnered with an introductory engineering course and provided a biology lesson plan   Create a partnership between iGEM and an introductory engineering course by providing a lesson plan that has a strong biology base.   Incorporate themes of synthetic biology into the work of the students to help educate them about the subject. 
Queens_Canada,Undergraduate,2015,http://2015.igem.org/Team:Queens_Canada,,Education and Public Engagement,SHAD,Teaching Activity,Secondary School Students,"Science Education, Educate on Synthetic Biology","Teamed up with a summer enrichment program to give lectures to high students about synthetic and molecular biology   Have the iGEM team team up with SHAD, a summer enrichment program at Queen's University.   Work with the program to visit local high schools and give lectures to the students about molecular biology and synthetic biology   Follow up by mentoring students through a two-day program that teaches them lab technique such as pipetting. "
Queens_Canada,Undergraduate,2015,http://2015.igem.org/Team:Queens_Canada,,Education and Public Engagement,QGEM 2015 Public Seminar,Teaching Activity,General Public,Educate on Synthetic Biology,"Held a public seminar to educate members of their community about synthetic biology   Host a public seminar to encourage members of the Kingston community to learn more about synthetic biology.   Teach them about the iGEM project, antifreeze proteins/the components of their iGEM project, as well as past projects.   Conclude with a discussion of the societal impacts of synthetic biology and the current policies governing the science. "
SCAU-China,Undergraduate,2016,http://2016.igem.org/Team:SCAU-China,Best Education and Public Engagement,Education and Public Engagement,Laboratory Open Day,Community Event,Secondary School Students,Educate on Synthetic Biology,Hosted an open lab for visiting secondary school students   Host an open lab for visiting secondary school students   Impress students and encourage them to work in science and engineering in the future 
SCAU-China,Undergraduate,2016,http://2016.igem.org/Team:SCAU-China,Best Education and Public Engagement,Education and Public Engagement,GMO Handbook,Educational Material,General Public,Educate on Synthetic Biology,Created a book to educate the public about GMOs   Create a book to educate the public about GMOs   Use the book in educational activities 
SCAU-China,Undergraduate,2016,http://2016.igem.org/Team:SCAU-China,Best Education and Public Engagement,Education and Public Engagement,Spread Scientific Knowledge to Countrysides,Educational Material,Specialized Audience,Educate on Synthetic Biology,Sent handbooks about modern agriculture to farmers in the countryside   Send handbooks about modern agriculture to farmers in the countryside   Increase accessibility to scientific information for people outside of cities   Increase acceptance of modern agriculture and GM crops 
SCAU-China,Undergraduate,2016,http://2016.igem.org/Team:SCAU-China,,Integrated Human Practices,GMO Handbook,Educational Material,General Public,Discuss Ethics and Safety,"Composed a handbook  on GMOs based on lectures, talks, and surveys   Compose a handbook on GMOs that is based on several lectures, talks, and surveys on the public's opinion that details the popular science and general knowledge to understand GMOs, and current safety regulations   Distribute to the public "
SCAU-China,Undergraduate,2016,http://2016.igem.org/Team:SCAU-China,Best Education and Public Engagement,Education and Public Engagement,Bauhinia Festival on Science and Culture,Fair Booth,General Public,Educate on Synthetic Biology,"Attended the Bauhinia Festival on Science and Culture  to talk about fluorescent proteins, microscopes, and tissue culture technology   Share interesting biology, including fluorescent protein, microscopes, and tissue culture technology, with fair visitors   Show visitors books and brochures about GMO facts and policy   Make postcards about the iGEM team and iGEM   Have visitors taste GMO papayas   Convey the message that GM crops can be good "
SCAU-China,Undergraduate,2016,http://2016.igem.org/Team:SCAU-China,Best Education and Public Engagement,Education and Public Engagement,Innovative and Venture Talk,Project Presentation,University Students,Present iGEM Project,"Presented iGEM project to students at the university and discussed how to get in touch with professors   Present iGEM project   Present ways to get involved in biology research, such as how to get papers from databases and how to get in touch with professors "
SCAU-China,Undergraduate,2016,http://2016.igem.org/Team:SCAU-China,Best Education and Public Engagement,Education and Public Engagement,Exhibitions at University's Hackerspace,Project Presentation,General Public,Present iGEM Project,Presented iGEM project at the university's Hackerspace   Address public concerns about the iGEM project that were pre-determined by survey results   Show posters about iGEM project  
SCAU-China,Undergraduate,2016,http://2016.igem.org/Team:SCAU-China,Best Education and Public Engagement,Education and Public Engagement,GMO Investigation,Survey,General Public,Learn Public Opinion,Created and distributed survey to quantify public awareness of GMOs   Quantify awareness of GMOs   Measure public opinion of GM food   Ask questions relevant to public opinion on iGEM project   Use data to understand how to design outreach activities 
SCAU-China,Undergraduate,2016,http://2016.igem.org/Team:SCAU-China,,Integrated Human Practices,Questionnaire,Survey,General Public,Learn Public Opinion,"Created survey to learn public opinion on iGEM, synthetic biology, and GMOs   Create a comprehensive survey about iGEM, synthetic biology and GMOs   Apply survey results into designing the project, and teaching the public about synthetic biology ethics "
SCAU-China,Undergraduate,2016,http://2016.igem.org/Team:SCAU-China,Best Education and Public Engagement,Education and Public Engagement,Laboratory Open Day,Teaching Activity,University Students,Promote Awareness of Synthetic Biology,"Showed college freshmen around the lab, introducing them to equipment, videos, and past posters   Show college freshmen around the lab   Introduce students to equipment, team videos, and past posters  "
SCAU-China,Undergraduate,2016,http://2016.igem.org/Team:SCAU-China,Best Education and Public Engagement,Education and Public Engagement,Spread Scientific Knowledge to Countrysides,Teaching Activity,Primary School Students,Science Education,Taught courses on biology to primary school students   Increase accessibility to scientific information for students outside of cities   Give courses in primary schools on biology   Have students become interested in eventually pursuing science as a career 
SCAU-China,Undergraduate,2016,http://2016.igem.org/Team:SCAU-China,Best Education and Public Engagement,Education and Public Engagement,Giving Courses for High School Students,Teaching Activity,Secondary School Students,"Educate on Synthetic Biology, Educate on iGEM Program",Taught courses on advanced biology to local high school and middle school students   Give courses for local high school and middle school students   Advance biological research among these students   Introduce iGEM and show students how to take part in iGEM as a high school students 
SCUT-China,Undergraduate,2015,http://2015.igem.org/Team:SCUT-China,Nominated for Best Integrated Human Practices,Integrated Human Practices,Hospital Interview with Patients,Consult Experts,Specialized Audience,Gain Information for iGEM Project,"Conducted interviews with multiple patients about coronary intervention and surgical coronary revascularization   Meet with patients at the In-patient cardiology unit at the Guangdong Province Hospital in China.   Conduct interviews with multiple patients about the methods of coronary intervention and surgical coronary revascularization   Discuss the physical and mental tolerance the patients need to recovery properly, and the teams iGEM project and its aims to help these patients.   On the iGEM wiki, write a detailed description of what was discussed with the patients, their experiences, and brief medical history for context. "
SCUT-China,Undergraduate,2015,http://2015.igem.org/Team:SCUT-China,Nominated for Best Integrated Human Practices,Integrated Human Practices,Hospital Interview with Doctors,Consult Experts,Specialized Audience,Gain Information for iGEM Project,"Discussed iGEM project with various doctors and received advice on how to test their product   Meet with doctors at the In-patient cardiology unit at the Guangdong Province Hospital in China.   Conduct interviews with multiple doctors about the limitations of modern medicine in treating cardiovascular disease   Discuss the iGEM project and receive advice on testing their product, including to not end testing following the detection of cGMP, but also in testing its positive role on cells.   Post a complete summary of the discussion on the iGEM's wiki. "
SCUT-China,Undergraduate,2015,http://2015.igem.org/Team:SCUT-China,Nominated for Best Integrated Human Practices,Integrated Human Practices,Patenting Consultation,Consult Experts,Specialized Audience,Gain Information for iGEM Project,"Met with expert biologists to receive advice on iGEM project.   Meet with biologists (Dr. Huang) with a medical science background to discuss the review procedures to permit a new medicine to come to market.   Also meet with Professor Zhou, an expert in patenting genes, to discuss faults with the current law and the need for the existing law system to become more developed. "
SCUT-China,Undergraduate,2015,http://2015.igem.org/Team:SCUT-China,Nominated for Best Integrated Human Practices,Integrated Human Practices,6th China Cardiovascular Prevention and Rehabilitation Forum,"Consult Experts, Project Presentation",Scientific Community,"Gain Information for iGEM Project, Present iGEM Project","Presented, discussed and got feedback about team's iGEM project at forum for cardiovascular health   Attend the 6th China Forum on Cardiovascular health to present iGEM project.   Present iGEM project to the crowd to receive helpful feedback and criticism of the early ideas of their project.   Discuss and learn new ideas about the importance of early detection and the importance of increasing the number of possibly therapies for future patients. "
SCUT-China,Undergraduate,2015,http://2015.igem.org/Team:SCUT-China,Nominated for Best Integrated Human Practices,Integrated Human Practices,Data Analysis on Cardiovascular Disease,Educational Material,Scientific Community,Science Education,"Compiled a report on cardiovascular disease and its related ailments    Complete research about cardiovascular disease and related ailments (obesity, cancer, and drug-delivery treatment)   Write a comprehensive report on these topics, as well as data analysis and references on the team's wiki to be accessible to other scientists as well as future iGEM teams. "
SCUT-China,Undergraduate,2015,http://2015.igem.org/Team:SCUT-China,,Education and Public Engagement,iGEM team meetups,Project Presentation,iGEM Teams,Present iGEM Project,"Presented iGEM project at team meetups in Taiwan and Guangzhou   Attend two different iGEM meetups, one in Taiwan and one in Guangzhou.   Meet with other iGEM teams and present their iGEM project   Listen to other teams iGEM projects and give feedback.   Receive feedback on their own project. "
SCUT-China A,Undergraduate,2016,http://2016.igem.org/Team:SCUT-China%20A,,Integrated Human Practices,Consult Professors,Consult Experts,Professors,Gain Information for iGEM Project,"Communicated with professors from the department of Environment and Energy to discuss project   Communicate with professors from the department of Environment and Energy to discuss the iGEM project 2 Discuss potential safety concerns with the project, as well as well as discuss ways to make their project more precise.  "
SCUT-China A,Undergraduate,2016,http://2016.igem.org/Team:SCUT-China%20A,,Integrated Human Practices,Pre-Investigations of Past iGEM Teams,Educational Material ,iGEM Teams,Gain Information for iGEM Project,Created a data pool of all past iGEM teams and summarized data on iGEM wiki   Create a data pool of all past iGEM teams and summarize the data on the iGEM wiki   Create tables of the quantity of iGEM teams and projects that have an environmental focus and more specifically what those projects are on   Use the data to shape their own project 
SCUT-China A,Undergraduate,2016,http://2016.igem.org/Team:SCUT-China%20A,,Integrated Human Practices,Questionnaire,Survey,General Public,Gain Information for iGEM Project,Wrote a four question survey on the topics of their iGEM project and environment   Write a four question survey on the topics of their iGEM project and the environment   Post the survey results on the wiki 
SDSZ China,High School,2016,http://2016.igem.org/Team:SDSZ%20China,,Integrated Human Practices,Consult Chinese Academy of Agricultural Sciences,Consult Experts,Specialized Audience,Gain Information for iGEM Project,"Consulted a doctor working for the Chinese Academy of Agricultural Sciences about their iGEM project   Consult a doctor working for the Chinese Academy of Agricultural Sciences   Ask about the iGEM project and how best it can assist the industry, asking questions about antibiotics in milk and what issues that causes in the industry, as well as what issues they should consider when designing their project "
SDSZ China,High School,2016,http://2016.igem.org/Team:SDSZ%20China,,Integrated Human Practices,Tour Dairy Processing Factory,Consult Experts,Specialized Audience,Gain Information for iGEM Project,"Learned about the process by which the factory insures milk quality and discussed how to ensure milk quality with factory workers   Witness the process throughout the factory that insures milk quality   Through observation and discussion with the factory workers, determine how best to go about designing their iGEM project to ensure higher milk quality "
SDU-Denmark,Overgraduate,2016,http://2016.igem.org/Team:SDU-Denmark,,Integrated Human Practices,Interviewing Laura Jakobsen,Consult Experts,"Specialized Audience, Scientific Community",Gain Information for iGEM Project,Interviewed a nurse in the plastic surgery department to understand the issues hospital face when treating burn wounds    Interview the nurse Laura Jakobsen who works at the plastic surgery department at the University Hospital of Odense (OUH)   She helps to understand what kind of issues the hospitals face when treating burn wounds and the requirements needed for a functional Bacto-Aid 
SDU-Denmark,Overgraduate,2016,http://2016.igem.org/Team:SDU-Denmark,,Integrated Human Practices,Interviewing Hans Jørn Kolmos,Consult Experts,Scientific Community,Gain Information for iGEM Project,"Interviewed a clinical microbiology professor about antibiotic resistance    Interview Hans J_rn Kolmos, a professor in clinical microbiology at the University of Southern Denmark and an expert in the history of antibiotics familiar with the status of the resistance problem   Learn that the media has a tendency to worsen the situation and talk about how to tackle the problem "
SDU-Denmark,Overgraduate,2016,http://2016.igem.org/Team:SDU-Denmark,,Integrated Human Practices,Interviewing Morten Østergaard Andersen,Consult Experts,"Professors, Scientific Community",Gain Information for iGEM Project,"Consulted with an Associate Professor researching biomaterials on possible functions that biodegradable plastic can fulfill in medicine    Consult Morten _stergaard Andersen, an Associate Professor at the Southern University of Denmark researching different biomaterials, on possible functions that biodegradable plastic can fulfill in medicine   Made aware of the side effect PHB use inside the body as well has how 3D printers could be used to print the plastic "
SDU-Denmark,Overgraduate,2016,http://2016.igem.org/Team:SDU-Denmark,,Integrated Human Practices,Interviewing Ming Ding,Consult Experts,"Professors, Scientific Community",Gain Information for iGEM Project,"Interviewed a professor in orthopedic surgery about how their project's plastic can be used as a coating for implants    Talk with Ming Ding, a professor in orthopaedic surgery at the Southern University of Denmark, about how the project's plastic can be used as coating for implants and how the material can be used for slow release of antimicrobial peptides   Learn about Mr. Ding__ work on experimenting with the release of E-vitamin from implants in animals, which could also be tested with combining the plastic and antimicrobial peptides "
SDU-Denmark,Overgraduate,2015,http://2015.igem.org/Team:SDU-Denmark,,Integrated Human Practices,Ethics,Consult Experts,Scientific Community,"Discuss Ethics and Safety, Gain Information for iGEM Project",Visited a department at Odense University Hospital where antibodies are made to spur ethical discussion   Do some fieldwork and visit a department at Odense University Hospital where antibodies are made   Have ethical discussion regarding laboratory conditions for animals 
SDU-Denmark,Overgraduate,2016,http://2016.igem.org/Team:SDU-Denmark,,Integrated Human Practices,Interviewing Plastic Companies,"Consult Experts, Survey","Vendors/Businesses, Scientific Community",Gain Information for iGEM Project,"Questioned 14 different plastic companies about sustainability and the future of biodegradable plastic   Send out question forms and make phone calls to 14 different plastic companies,in order to evaluate the sustainability and future perspectives of biodegradable plastic "
SDU-Denmark,Overgraduate,2016,http://2016.igem.org/Team:SDU-Denmark,Nominated for Best Education and Public Engagement,Education and Public Engagement,Media,Educational Material,"Secondary School Students, Scientific Community, iGEM Teams",Promote Awareness of Synthetic Biology,Create an information video about the team's project.   Informational video about the team and project featured on SDU's facebook page and on youtube   Make a team video which can be incorporated into the presentation 
SDU-Denmark,Overgraduate,2015,http://2015.igem.org/Team:SDU-Denmark,,Education and Public Engagement,A Children's Book,Educational Material,General Public,Educate on Synthetic Biology,Created a story for adults and children on the subjects of GMOs and existentialism   Create a story for adults and children on the subjects of GMOs and existentialism   Leave some illustrations uncolored so that people can color them   Develop a digital version and a printable version 
SDU-Denmark,Overgraduate,2016,http://2016.igem.org/Team:SDU-Denmark,,Integrated Human Practices,Evaluation from KOLD College,Project Presentation,University Students,"Present iGEM Project, Gain Information for iGEM Project",Presented iGEM project at KOLD college to receive feedback   Visit KOLD College for an evaluation in order to get a better idea of the team's performance and project  
SDU-Denmark,Overgraduate,2016,http://2016.igem.org/Team:SDU-Denmark,,Integrated Human Practices,Interviewing Coloplast,"Project Presentation, Consult Experts",Scientific Community,"Gain Information for iGEM Project, Present iGEM Project",Present project to Coloplast and receive feedback.   Present project to Coloplast with the intention of getting their point of view on the project as a whole and in relation to three sub elements 
