,School,Section,Year,Outreach Category,Wiki Hyperlink,Project Tag,Audience,Goal,Objectives,Description
459,Imperial College,Undergraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Imperial_College,Educational Material,"Secondary School Students, General Public",Educate on Synthetic Biology,<ul><li> Create a mobile game as a teaching tool to explain co-cultures</li><li> Have players recognize co-cultures and understand how they can be beneficial</li><li> Explain where co-cultures occur in nature</li><li> Inspire participants to produce their own ideas for novel applications of co-cultures.</ul>,Created a mobile game to help teach about the value of Co-Culture
460,INSA-Lyon,Undergraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:INSA-Lyon,Consult Experts,Specialized Audience,Learn Public Opinion,"<ul><li> Consult with experts in the field, including a famous actor advocating for STI research</li><li> Engage with them and inform them about your project and how it can be helpful to them</ul>",Consulted experts in the field and informed them of the project's applications
461,INSA-Lyon,Undergraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:INSA-Lyon,Educational Material,"Scientific Community, iGEM Teams",Discuss Ethics and Safety,<ul><li> Use knowledge acquired during meetings and surveys to build an ethical matrix </ul>,Built an ethical matrix using knowledge acquired from meetings and surveys
462,INSA-Lyon,Undergraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:INSA-Lyon,Survey,General Public,Learn Public Opinion,"<ul><li> Create a survey asking the public about how they feel about synthetic biology, and how they would feel using it in the medical field and more specifically using their product</li><li> Distribute the survey to a wide range of the general public and analyze the results</ul>",Created a survey asking the public their opinions on synthetic biology and its application in the medical field
463,INSA-Lyon,Undergraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:INSA-Lyon,Teaching Activity,University Students,Educate on Synthetic Biology,<ul><li> Design three workshops that would gradually educate entry level university students on synthetic biology</li><li> Teach these workshops to large numbers of students to increase awareness and gain further support for future iGEM teams.</ul>,Designed and hosted three workshops that would educate entry level university students on synthetic biology
464,Ionis Paris,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Ionis%20Paris,"Community Event, Fundraiser",University Students,"Present iGEM Project, Educate on iGEM Program",<ul><li> Sell meals and crepes to raise funds for iGEM team</li><li> Organize small conferences to present iGEM project and explain the iGEM competition</li><li> Host a poster competition challenging participants to create a poster describing their own idea for an iGEM project</ul>,Sold meals and crepes to raise funds for iGEM team and organized small conferences to present their project
465,Ionis Paris,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Ionis%20Paris,Conference/Panel Discussion,iGEM Teams,Present iGEM Project,"<ul><li> Organize a meetup of all European iGEM teams to share their projects, give feedback, and network</ul>",Organized a European iGEM team meetup in order to share projects and gain feedback
466,Ionis Paris,Overgraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:Ionis%20Paris,Educational Material,General Public,Discuss Ethics and Safety,"<ul><li> Research potential ethical and safety concerns associated with the project design, and address them accordingly</ul>",Researched potential ethical and safety concerns associated with their project design
467,Ionis Paris,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Ionis%20Paris,Educational Material,General Public,Promote Awareness of Synthetic Biology,<ul><li> Design a game app that will reflect the team's iGEM project in a relatable and entertaining way</ul>,Designed a game app that reflected the team's project in a relatable and entertaining manner
468,Ionis Paris,Undergraduate,2015,Education and Public Engagement,http://2015.igem.org/Team:IONIS_Paris,Educational Material,General Public,Promote Awareness of Synthetic Biology,"<ul><li> Design a mobile application to be available on all Android mobile phones with the goal of communicating and popularizing synthetic biology</li><li> Develop BactMan Adventures, an assortment of educative mini-games surrounding the life of a bacterium, with an Open Source game engine</li><li> Code the application in Java, using the AndEngine game engine to build the different games available in the application</li><li> Apart from the mini-games, include information about the team, the iGEM competition, and synthetic biology</ul>",Designed educational phone apps and games to teach about synthetic biology and iGEM
469,Ionis Paris,Undergraduate,2015,Education and Public Engagement,http://2015.igem.org/Team:IONIS_Paris,Educational Material,"iGEM Teams, General Public",Promote Awareness of Synthetic Biology,"<ul><li> Challenge other iGEM teams to create a one minute video introducing their project in the simplest way</li><li> During the French meeting in July, bring camera and record the other French teams</ul>",Challenged other iGEM teams to create one minute videos introducing their projects
470,Ionis Paris,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Ionis%20Paris,Fair Booth,Scientific Community,"Present iGEM Project, Educate on iGEM Program","<ul><li> Attend conference for professionals in the biology field</li><li> Discuss the iGEM competition and team project in detail, explain the basis of synthetic biology to those not familiar</ul>",Attended a conference for professionals in the field of biology and discussed the iGEM competition and team project in detail
471,Ionis Paris,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Ionis%20Paris,Project Presentation,University Students,"Present iGEM Project, Educate on iGEM Program",<ul><li> Give a presentation at the Unniversit茅 Pierre and Marie Curie (UPMC) about the iGEM competition and team project</ul>,Gave a presentation at Unniversit茅 Pierre and Marie Curie (UPMC) on the iGEM competition and team project
472,Ionis Paris,Overgraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:Ionis%20Paris,Survey,General Public,Learn Public Opinion,<ul><li> Distribute a survey online asking about public perception of GMOs and their role in solving air pollution</ul>,Distributed a survey asking about the public's perception of GMOs and their role in addressing air pollution
473,Jilin China,Undergraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:Jilin%20China,Consult Experts,Professors,Gain Information for iGEM Project,"<ul><li> Meet with Professor Ying Xu, specialist in computational biology and cancer research</li><li> Attend a lecture by the professor about his research</li><li> Learn about the professor's suggestions to prevent cancers</ul>","Met with Professor Ying Xu, a specialist in computational biology and cancer research, to learn about suggestions regarding cancer prevention"
474,Jilin China,Undergraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:Jilin%20China,Consult Experts,Specialized Audience,"Gain Information for iGEM Project, Policy Outreach","<ul><li> Meet with law specialist Fang Ruan, a judge for the People's Court of Jinjiang China</li><li> Ask about current laws and regulations regarding genetic engineering and GMOs </ul>",Met with law specialist Fang Ruan to ask about current laws and regulations concerning genetic engineering and GMOs
475,Jilin China,Undergraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:Jilin%20China,Consult Experts,Scientific Community,Gain Information for iGEM Project,"<ul><li> Attend international forum, interview experts in cancer biology about the current trends and newly developed methods of treating solid tumors</li><li> Ask for advice on iGEM project</ul>",Attended an international forum to interview experts in cancer biology about current trends and newly developed methods of treating tumors
476,Jilin China,Undergraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Jilin%20China,Educational Material,iGEM Teams,Present iGEM Project,<ul><li> Contribute to newsletter from XMU-China iGEM team by writing a short article on the Jilin iGEM project and results</ul>,Contributed a short article on iGEM project to XMU-China newsletter
477,Jilin China,Undergraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Jilin%20China,Educational Material,General Public,"Promote Awareness of Synthetic Biology, Present iGEM Project","<ul><li> Construct a booklet providing background information on synthetic biology as well as the Jilin China team project, including critical learning questions for readers to check understanding</li><li> Distribute booklet to local students and teachers, and to other iGEM teams to distribute in their own local areas</ul>",Created and distributed a booklet providing background info on synthetic biology and iGEM project
478,Jilin China,Undergraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Jilin%20China,Project Presentation,University Students,Present iGEM Project,<ul><li> Give a TED talk-style presentation providing background on synthetic biology and explaining the iGEM project</ul>,Gave a TED talk-style presentation on synthetic biology and iGEM project
479,Jilin China,Undergraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Jilin%20China,Social Media,University Students,"Promote Awareness of Synthetic Biology, Present iGEM Project",<ul><li> Participate in an interview with university TV network explaining basic background information on synthetic biology as well as a description of the iGEM project</ul>,Participated in interview with the university TV network by explaining synthetic biology and iGEM project
480,Jilin China,Undergraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Jilin%20China,Survey,General Public,Learn Public Opinion,<ul><li> Design and distribute a survey asking about respondents' understanding of solid tumors and synthetic biology as a solution</ul>,Designed and distributed survey asking about people's understanding of solid tumors and synthetic biology as a solution
481,Jilin China,Undergraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Jilin%20China,Teaching Activity,Secondary School Students,"Promote Awareness of Synthetic Biology, Present iGEM Project","<ul><li> Give a presentation to students on synthetic biology, the purpose of iGEM, and the team's iGEM project</li><li> Invite students to visit the iGEM lab and provide contact information so that students can contact the team with more questions about iGEM and synthetic biology</ul>","Gave presentation to students on synthetic biology, purpose of iGEM, and the team's project"
482,Kent,Undergraduate,2015,Integrated Human Practices,http://2015.igem.org/Team:Kent,Conference/Panel Discussion,iGEM Teams,Present iGEM Project,"<ul><li> Attend two iGEM meetups in London</li><li> On July 31st, attend the first London iGEM Meetup, hosted by Birkbeck in collaboration with UCL, London Biohackers, and University of Westminster</li><li> Present project for practice</li><li> Attend second meetup hosted by the University of Westminster, where many more teams from around the country can present their work and bounce back ideas that would aid in the final presentations</ul>",Attend iGEM meetups and present iGEM project and receive feedback
483,Kent,Undergraduate,2015,Integrated Human Practices,http://2015.igem.org/Team:Kent,Consult Experts,Legislators,Gain Information for iGEM Project,"<ul><li> Start by finding a list of Members of European Parliament (MEPs) from the UK and select the ones that deal with energy, conservation, environment or industry</li><li> Target MPs and MEPs of different parties to see if their outlook on subjects like renewable energy sources differed</li><li> Draft a letter containing 10 questions to ask them, some of the questions being specifically about the project and others more general to gauge their views on synthetic biology</li><li> Send letters along with the questions to MEPs both by post and via email</li><li> Besides targeting UK MPs and MEPs, also gather feedback from international politicians</ul>",Drafted letters to various members of parliament promoting awareness of both synthetic biology and renewable energy research
484,Kent,Undergraduate,2015,Integrated Human Practices,http://2015.igem.org/Team:Kent,Consult Experts,Legislators,Promote Awareness of Synthetic Biology,"<ul><li> Write a POSTnote to get parliament to notice and recognize the impact synthetic biology can have on society ('POSTnotes' are summaries of public policy issues based on reviews of the research literature and are peer reviewed by external experts; POSTnotes are often produced proactively so that parliamentarians have advance knowledge of key issues before they reach the top of the political agenda)</li><li> Focus the document on climate change and the impact renewable energy can have on this issue, the potential of Synthetic Biology as a renewable solution in electronic manufacturing and in energy production, and the isolation between science and politics which is hindering factor in the growth of projects</ul>",Wrote a POSTnote to parliament to promote awareness of synthetic biology and discussing climate change and the impact renewable energy can have on this issue
485,Kent,Undergraduate,2015,Integrated Human Practices,http://2015.igem.org/Team:Kent,Project Presentation,"Scientific Community, Vendors/Businesses","Present iGEM Project, Gain Information for iGEM Project","<ul><li> Attend the Stacey Symposium, a public event hosted by the Biosciences department in September</li><li> Present project to esteemed lecturers, investors, alumni, and their families</li><li> Explain the importance of iGEM work within synthetic biology</li><li> After the presentation, socialize with the attendees and receive constructive criticism on the presentation and research</ul>",Attended a symposium to present their iGEM project
486,Kent,Undergraduate,2015,Integrated Human Practices,http://2015.igem.org/Team:Kent,Survey,General Public,Gain Information for iGEM Project,"<ul><li> Aim to ask questions which cover the economics aspect of renewable energy as well as questions about the environment</li><li> To receive an unbiased range of answers, public the survey on different social media accounts, including Facebook, Twitter, and Reddit account</li><li> Hand out copies of the survey during the Birkbeck London Meetup, the Stacey Symposium, and the Public Workshop</ul>",Surveyed the public during a London meetup on economic aspects of renewable energy and the environment
487,Kent,Undergraduate,2015,Education and Public Engagement,http://2015.igem.org/Team:Kent,Teaching Activity,"General Public, Primary School Students","Educate on Synthetic Biology, Promote Awareness of Synthetic Biology","<ul><li> In order to demonstrate the project to the general public of all ages, run a workshop showcasing the team's efforts</li><li> To make the session more interactive, employ an AFM model using pink and red plates to show the growth of amyloid fibers due to the redness of the cells</li><li> Kids can play around with the AFM model</li><li> Discuss safety measures that need to be taken when using E. coli and reassure people that ""kill switches"" in the project would make it safe for everyday use</ul>",Ran a workshop about their iGEM project while also demonstrating an AFM model showing the growth of amyloid fibers
488,Korea U Seoul,Overgraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:Korea%20U%20Seoul,Conference/Panel Discussion,Specialized Audience,Discuss Ethics and Safety,<ul><li> Attend conference hosted by Republic of Korea Parliamentarian Society</li><li> Discuss national policies on biosafety and prevention of bioterrorism and spread of infectious diseases</ul>,Attended conference hosted by Republic of Korea Parliamentarian Society to discuss national policies on biosafety and bioterrorism
489,Korea U Seoul,Undergraduate,2015,Integrated Human Practices,http://2015.igem.org/Team:Korea_U_Seoul,Conference/Panel Discussion,iGEM Teams,Present iGEM Project,<ul><li> Attend the __GEM Korean Team Meetup_</li><li> Introduce the project</li><li> Support and mentor Korean High School iGEM teams participating in the Giant Jamboree</ul>,Attended Korean iGEM team meetup 
490,Korea U Seoul,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Korea%20U%20Seoul,Educational Material,Secondary School Students,"Promote Awareness of Synthetic Biology, Educate on iGEM Program","<ul><li> Interview with a popular Korean science magazine about synthetic biology, iGEM and the team's project</ul>",Interviewed by a popular Korean science magazine about synthetic biology and iGEM project
491,Korea U Seoul,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Korea%20U%20Seoul,Educational Material,"Vendors/Businesses, General Public","Discuss Ethics and Safety, Policy Outreach","<ul><li> Translate a U.S. presidential report, which covers topics ranging from the general concept of synthetic biology and its emerging concerns to 18 major recommendations of the presidential commission, from English to Korean</ul>",Translated a U.S. presidential report covering synthetic biology and its emerging concerns from English to Korean
492,Korea U Seoul,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Korea%20U%20Seoul,Fair Booth,Vendors/Businesses,"Promote Awareness of Synthetic Biology, Present iGEM Project","<ul><li> Prepare a poster and brochure describing the team project, and present this project at the fair booth throughout the duration of the event</ul>","Created poster and brochure describing team project and presented at a  booth during Solar, Wind and Earth Energy Trade (SWEET) Fair "
493,Korea U Seoul,Undergraduate,2015,Education and Public Engagement,http://2015.igem.org/Team:Korea_U_Seoul,Fair Booth,General Public,"Educate on Synthetic Biology, Promote Awareness of Synthetic Biology","<ul><li> For two consecutive days, run a booth in __amily Science Day Exhibition_ hosted by Seoul National Science Museum</li><li> Prepare activities for young children and their parents</li><li> Bring jellies and help the children make __weet DNA' models so that they can learn the structure of DNA and its basic properties</li><li> While the children make sweet DNAs, explain synthetic biology using posters and give GFP samples to the parents</li><li> Have other adults play the __ioBrick Puzzle_ game that Team UT Tokyo made in 2012</ul>",Ran a booth hosting activities for children and their parents to teach them about synthetic biology
494,Korea U Seoul,Undergraduate,2015,Integrated Human Practices,http://2015.igem.org/Team:Korea_U_Seoul,Survey,"iGEM Teams, General Public",Gain Information for iGEM Project,"<ul><li> Decide to carry out a survey aiming to understand people's level of knowledge</li><li> In order to obtain reliable data, choose a sample for the survey varying from people with no prior knowledge of synthetic biology to those majoring in it</li><li> Include some information regarding one's background knowledge on synthetic biology, the appliances of the program Gil, and especially ""open network"" and ""open data""</li><li> Conduct the research for seven days in two languages: Korean and English</ul>",Carried out a survey about synthetic biology while taking into account the respondents' background in science
495,Korea U Seoul,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Korea%20U%20Seoul,Teaching Activity,Secondary School Students,"Educate on Synthetic Biology, Educate on iGEM Program",<ul><li> Introduce synthetic biology and give a brief history of the field</li><li> Explain the iGEM competition and the team project</li><li> Host a question and answer session with students about synthetic biology and iGEM</ul>,Introduced synthetic biology and explained iGEM competition and project to secondary school students
496,Korea U Seoul,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Korea%20U%20Seoul,Teaching Activity,General Public,"Promote Awareness of Synthetic Biology, Educate on iGEM Program, Discuss Ethics and Safety","<ul><li> Host an open seminar once per week for four weeks addressing the following topics: Introduction to synthetic biology/iGEM/Korea_U_Seoul, Case study of technology and research in synthetic biology, Introduce previous iGEM projects, Discuss ethical/social difficulties faced by synthetic biology and biotechnology</ul>",Hosted open seminar once a week for four weeks addressing synthetic biology and iGEM
497,Korea U Seoul,Undergraduate,2015,Integrated Human Practices,http://2015.igem.org/Team:Korea_U_Seoul,Speaker Series,University Students,"Promote Awareness of Synthetic Biology, Present iGEM Project","<ul><li> Give lectures to undergraduate students of Korea University</li><li> Advertise iGEM and introduce the team's software program, __il_</ul>","Lectured university students about team's software project, iGEM and synthetic biology"
498,Korea U Seoul,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Korea%20U%20Seoul,Teaching Activity,General Public,"Promote Awareness of Synthetic Biology, Discuss Ethics and Safety",<ul><li> Explain the basics of synthetic biology and the team's project</li><li> Discuss the societal importance of the project by explaining the context of global warming and environmental protection efforts</li><li> Engage in communication with participants by asking their opinions and asking for feedback</ul>,Explained basics of synthetic biology and team project
499,Korea U Seoul,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Korea%20U%20Seoul,Teaching Activity,University Students,"Educate on Synthetic Biology, Discuss Ethics and Safety","<ul><li> Collaborate with other university organizations to hold a conference for university students interested in biology</li><li> Present information about the field of synthetic biology</li><li> Lead discussions on bioethics and research ethics, focusing on the context of synthetic biology</ul>",Collaborated with other university organizations to host a conference for students interested in biology
500,KU_Leuven,Overgraduate,2015,Education and Public Engagement,http://2015.igem.org/Team:KU_Leuven,Conference/Panel Discussion,Professors,Discuss Ethics and Safety,<ul><li> Host a five member panel discussion with professors from KU Leuven on the ethics and definition of synthetic biology</ul>,"A round table ethics and safety discussion with five professors, focusing on the meaning of synthetic biology, as well as its implications."
501,KU_Leuven,Overgraduate,2015,Education and Public Engagement,http://2015.igem.org/Team:KU_Leuven,Speaker Series,"University Students, Professors, Scientific Community, iGEM Teams","Educate on Synthetic Biology, Discuss Ethics and Safety, Present iGEM Project",<ul><li> Host a symposium for members of the school and associated community to learn about synthetic biology applications of various systems as well as visiting team's iGEM projects</ul>,Symposium on the synthetic biology applications of cell systems and biochemistry research
502,KU_Leuven,Overgraduate,2015,Education and Public Engagement,http://2015.igem.org/Team:KU_Leuven,Survey ,General Public,Learn Public Opinion,"<ul><li> Give survey to 18+ year old members of the general public to determine their knowledge of synthetic biology, as well as gauge their reaction to various ethical scenarios </ul>","A survey of the Belgian public's awareness about the concept of synthetic biology, as well as their specific knowledge "
503,KU_Leuven,Overgraduate,2015,Education and Public Engagement,http://2015.igem.org/Team:KU_Leuven,"Teaching Activity, Educational Material",Primary School Students,"Educate on Synthetic Biology, Promote Awareness of Synthetic Biology",<ul><li> Invite 10-12 year old primary school students from three different schools and use games to help teach them about synthetic biology</ul>,Testing out a home brewed card game designed to teach about DNA translation and mutations
504,Kyoto,Undergraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Kyoto,Fair Booth,University Students,"Present iGEM Project, Promote Awareness of Synthetic Biology","<ul><li> Participate in poster session at festival, explain the team's project and answer questions about the project and about genetic engineering</ul>",Participated in a poster session at November Festival at Kyoto University explaining project
505,Kyoto,Undergraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Kyoto,Fair Booth,University Students,"Present iGEM Project, Promote Awareness of Synthetic Biology","<ul><li> Participate in poster session at festival, explain the team's project and answer questions about the project and about genetic engineering</ul>",Participated in a poster session at May Festival at University of Tokyo explaining project
506,Kyoto,Undergraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Kyoto,Project Presentation,"Scientific Community, iGEM Teams",Present iGEM Project,<ul><li> Present project to attendees as part of a special introduction session for iGEM teams</li><li> Exchange ideas with Genetics Society members and other iGEM teams present</ul>,Presented project to attendees of the 88th Annual Meeting of the Genetics Society of Japan
507,Kyoto,Undergraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Kyoto,"Project Presentation, Educational Material",General Public,"Present iGEM Project, Promote Awareness of Synthetic Biology",<ul><li> Present project for a national newspaper to be featured in an article about the team and the project</ul>,Presented project to be featured in an article for a national newspaper
508,Kyoto,Undergraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:Kyoto,Survey,Secondary School Students,Learn Public Opinion,"<ul><li> Ask students about their level of comfort with different applications of recombinant organisms, including ""Oral Administration,"" ""Prevention,"" and ""Detection""</ul>",Asked students about their comfort level with different applications of recombinant organisms
509,Kyoto,Undergraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:Kyoto,Teaching Activity,Secondary School Students,"Educate on Synthetic Biology, Educate on iGEM Program","<ul><li> Give a short, 20-minute seminar on genetic engineering and iGEM</li><li> Facilitate a discussion with science teacher about genetic engineering and the team's project</ul>",Gave a 20-minute seminar on genetic engineering and iGEM to facilitate discussion with a science teacher
510,LASATX,High School,2015,Education and Public Engagement,http://2015.igem.org/Team:LASATX,Project Presentation,General Public,Promote Awareness of Synthetic Biology,"<ul><li> Hold interviews with KZAn and KUT radio with members of the iGEM team.</li><li> Discuss the iGEM project, synthetic biology, the iGEM competition, and public's concerns with synthetic biology</ul>",Conduct a radio interview about the iGEM project. 
511,Lethbridge,Overgraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:Lethbridge,Consult Experts,Specialized Audience,Gain Information for iGEM Project,<ul><li> Visit Lethbridge EMS and discuss their needs for pathogen sensing and cleaning in ambulances</li><li> Participate in ride-alongs with the team</li><li> Recover and culture samples taken from different surfaces inside the ambulance</ul>,Visited Lethbridge EMS to discuss their needs for pathogen sensing and ambulance cleaning
512,Lethbridge,Overgraduate,2015,Integrated Human Practices,http://2015.igem.org/Team:Lethbridge,Consult Experts,Scientific Community,Gain Information for iGEM Project,<ul><li> Discuss iGEM project with a Fusarium research scientists and an agricultural researcher</li><li> Discuss the efficacy of their project from lab to field.</li><li> Discuss the ethics behind their project and ideas for how to best implement their project.</ul>,Discuss iGEM project with research scientists familiar with their subject
513,Lethbridge,Overgraduate,2015,Integrated Human Practices,http://2015.igem.org/Team:Lethbridge,Consult Experts,Specialized Audience,Gain Information for iGEM Project,"<ul><li> Discuss iGEM project with small molecular pesticide distributors.</li><li> Discuss their project idea, and assess how it could best be implemented into a manufactured product, and its relative cost.</li><li> Type up a cost-analysis review based on the discuss and post to the wiki. </ul>",Discuss iGEM project and cost-analysis with small molecular pesticide distributors 
514,Lethbridge,Overgraduate,2015,Integrated Human Practices,http://2015.igem.org/Team:Lethbridge,Consult Experts,Specialized Audience,Gain Information for iGEM Project,<ul><li> Discuss iGEM project with organic farmers.</li><li> Talk about their idea and how it could best help with their farming.</li><li> Receive advice about what to focus on for their iGEM project to create the most benefit. </ul>,Discuss iGEM project with organic farmers. 
515,Lethbridge,Overgraduate,2015,Integrated Human Practices,http://2015.igem.org/Team:Lethbridge,Consult Experts,Specialized Audience,Gain Information for iGEM Project,"<ul><li> Discuss iGEM project with Health Canada and Canada Food Inspection Agency.</li><li> Talk about the ethical implications of their project, and determine how best to ensure their projects safety and present their project as safe to the public</ul>",Discuss ethics of iGEM project with Health Canada and Canadian Food Inspection Agency 
516,LMU-TUM Munich,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:LMU-TUM%20Munich,Conference/Panel Discussion,General Public,"Educate on Synthetic Biology, Discuss Ethics and Safety","<ul><li> Invite a series of molecular biology and synbio academics and researchers to participate in the panel</li><li> Ask panelists about applications of synthetic biology, safety and risks or ethics and society</li><li> Encourage audience members to ask their own questions to the panelists</ul>",Hosted a synthetic biology panel discussion about the applications and ethical concerns of synthetic biology.
517,LMU-TUM Munich,Overgraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:LMU-TUM%20Munich,Consult Experts,Scientific Community,Discuss Ethics and Safety,"<ul><li> Consult with Dr. Alfons Gierl, member of the national biosafety panel (ZKBS) and genetics researcher</li><li> Discuss safety considerations for the team's project, as well as the future of synthetic biology and GMOs</ul>",Met with a member of the national biosafety panel to discuss safety concerns associated with the project.
518,LMU-TUM Munich,Overgraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:LMU-TUM%20Munich,Consult Experts,Specialized Audience,"Policy Outreach, Gain Information for iGEM Project",<ul><li> Consult with Dr. Nina K枚hler from the Bavarian Health and Food Safety Authority (LGL)</li><li> Discuss current regulations of Synthetic Biology in the EU and in Germany</ul>,Met with a member of the Bavarian Health and Food Safety authority to discuss national and regional regulation of synthetic biology
519,LMU-TUM Munich,Overgraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:LMU-TUM%20Munich,Consult Experts,Professors,Gain Information for iGEM Project,<ul><li> Consult with Dr. Michael Raghunath of the Zuercher University for Applied Science (ZHAW)</li><li> Explain project idea and background</li><li> Discuss potential obstacles and limitations to polymerization approach</ul>,Consulted an applied science professor to discuss feasible project approaches.
520,LMU-TUM Munich,Overgraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:LMU-TUM%20Munich,Consult Experts,Scientific Community,Gain Information for iGEM Project,"<ul><li> Consult with Dr. Nadine Nottrodt of the Fraunhofer Institute for Laser Technology (ILT), specialist in 3D bioprinting</li><li> Discuss the team's project and future directions, as well as future directions for bioprinting technology in general</ul>",Met with a 3D bioprinting specialist to discuss the team's project.
521,LMU-TUM Munich,Overgraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:LMU-TUM%20Munich,Educational Material,General Public,Discuss Ethics and Safety,<ul><li> Write two different scenarios imagining the impact of LMU-TUM Munich's iGEM project on society</ul>,Wrote fictional scenarios about future implications of the iGEM project
522,LMU-TUM Munich,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:LMU-TUM%20Munich,Fair Booth,University Students,Present iGEM Project,<ul><li> Present project at major hackathon event</ul>,Presented project at a major hackathon event
523,LMU-TUM Munich,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:LMU-TUM%20Munich,Open Lab,General Public,"Educate on Synthetic Biology, Present iGEM Project","<ul><li> Explain team project, construct a 3D biotin molecule to illustrate specific concepts</li><li> Guide visitors through tomato DNA extraction activity</li><li> Prepare fluorescent cells under a microscope, allow visitors to observe</ul>","Hosted an open lab, led several teaching activities and explained the project."
524,LMU-TUM Munich,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:LMU-TUM%20Munich,Project Presentation,University Students,"Present iGEM Project, Recruit iGEM Members","<ul><li> Attend welcome ceremony for new LMU students</li><li> Present iGEM project and background information about iGEM competition, answer questions about iGEM and synthetic biology</ul>",Presented iGEM project and information about the competition at a university event for new students.
525,LMU-TUM Munich,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:LMU-TUM%20Munich,Social Media,Scientific Community,"Educate on Synthetic Biology, Present iGEM Project","<ul><li> Post all necessary protocols and instructions publicly on <a href=""http://hackaday.io"">hackaday.io</a> so that other hackers can have access to the team's bioprinter technology</ul>",Posted project information on an open source website for easy access.
526,LMU-TUM Munich,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:LMU-TUM%20Munich,Social Media,General Public,Promote Awareness of Synthetic Biology,<ul><li> Analyze team's social media presence and the demographics of social media followers in order to understand their target audience</ul>,Analyzed the team's social media presence and audience demographics.
527,LMU-TUM Munich,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:LMU-TUM%20Munich,"Social Media, Educational Material",General Public,"Promote Awareness of Synthetic Biology, Present iGEM Project","<ul><li> Participate in interviews with local newspapers and radio stations, and promote team presence on university homepages to boost public awareness of synthetic biology, iGEM, and the team project</ul>",Team was featured on the university homepage and in university news articles promoting iGEM and the project.
528,LMU-TUM Munich,Overgraduate,2016,Education and Public Engagement,http://2016.igem.org/Team:LMU-TUM%20Munich,Teaching Activity,"Primary School Students, Secondary School Students",Educate on Synthetic Biology,<ul><li> Design a smart board-based course about synthetic biology for teachers to easily implement and incorporate into their curriculums</ul>,Designed a smartboard based synthetic biology curriculum
529,Macquarie Australia,Overgraduate,2016,Integrated Human Practices,http://2016.igem.org/Team:Macquarie%20Australia,Consult Experts,Specialized Audience,"Gain Information for iGEM Project, Learn Public Opinion","<ul><li> Visit a number of rural farms</li><li> Ask farmers about their knowledge of synthetic biology, as well as their questions and concerns about implementation of genetic engineering technology</ul>",Interviewed farmers from a rural community about their opinions on genetic engineering
